timestamp,transcript_chunk,keywords,recommended_task
00:20:00,"how can we tell whether or not it's even learning? So before we talk about the models, let's talk about how can we actually like evaluate these models or how can we tell whether something is a good model or bad model. So let's take a look at this data set. So this data set has this is from a diabetes, a Pima Indian diabetes data set. And here we have different number of pregnancies, different glucose levels, blood pressure, skin thickness, insulin, BMI, age, and then the outcome, whether or not they have diabetes. One for they do, zero for they don't. So here, all of these are quantitative features, right? Because they're all on some scale. So each row is a different sample in the data. So it's a different example. It's one person's data. And each row represents one person in this data set. Now this column, each column represents a different feature. So this one here is some measure of blood pressure levels. And this one over here as we mentioned is the output label. So this one is whether or not they have diabetes. And as I mentioned, this is what we would call a feature vector because these are all of our features in one sample. And this is what's known as the target or the output for that feature vector. That's what we're trying to predict. And all of these together is our features matrix X. And over here, this is our labels or targets vector Y. So I've condensed this to a chocolate bar to kind of talk about some of the other concepts in machine learning. So over here, we have our X,","data set, data, Pima Indian diabetes, set, Pima Indian",Review the key concepts from this section and write a one-paragraph summary.
00:22:00,"our features matrix. And over here, this is our label Y. So each row of this will be fed into our model, right? And our model will make some sort of prediction. And what we do is we compare that prediction to the actual value of Y that we have in our label data set because that's the whole point of supervised learning is we can compare what our model is outputting to what is the truth actually. And then we can go back and we can adjust some things so that the next iteration we get closer to what the truth value is. So that whole process here, the tinkering that, okay, what's the difference? Where did we go wrong? That's what's chunk right here. Do we want to really put our entire chocolate bar into the model to train our model? Not really, right? Because if we did that, then how do we know that our model can do well on new data that we haven't seen? Like if I were to create a model to predict whether or not someone has diabetes, let's say that I just train on my data and I see that on my training data it does well. I go to some hospital and I'm like, here's my model. I think you can use this to predict if somebody has diabetes. Do we think that would be effective or not? Probably not, right? Because we haven't assessed how well our model can generalize. Okay, it might do well after our model has seen this data over and over and over again. But what about new data? Can our model handle new data? Well, how do we get our model to assess that? So we actually break up our whole data set that we have","model, features matrix, data, matrix, features",Review the key concepts from this section and write a one-paragraph summary.
00:24:00,"into three different types of data sets. We call it the training data set, the validation data set, and the testing data set. And you know, you might have 60% here, 20% and 20% or 80, 10, and 10. It really depends on how many statistics you have. I think either of those would be acceptable. So what we do is then we feed the training data set into our model. We come up with, you know, this might be a vector of predictions corresponding with each sample that we put into our model. We figure out, okay, what's the difference between our prediction and the true values? This is something known as loss. Loss is, you know, what's the difference here in some numerical quantity, of course. And then we make adjustments. And that's what we call training. Okay. So then once, you know, we've made a bunch of adjustments, we can put our validation set through this model. And the validation set is kind of used as a reality check during or after training to ensure that the model can handle unseen data still. So every single time after we train one iteration, we might stick the validation set in and see, hey, what's the loss there? And then after our trainings over, we can assess the validation set and ask, hey, what's the loss there? But one key difference here is that we don't have that training step. This loss never gets fed back into the model, right? That feedback loop is not closed. All right. So let's talk about loss really quickly. So here I have four different types of models. I have some sort of data that's being fed into the model and then some output. Okay. So this output here is pretty far from, you know, this truth that we want. And so this loss","data, set, data set, loss, validation set",Review the key concepts from this section and write a one-paragraph summary.
00:26:00,"is going to be high in model B. Again, this is pretty far from what we want. So this loss is also going to be high. Let's give it 1.5. Now this one here, it's pretty close. I mean, maybe not almost, but pretty close to this one. So that might have a loss of 0.5. And then this one here is maybe further than this, but still better than these two. So that loss might be 0.9. Okay. So which of these models performs the best? Well, Model C has the smallest loss. So it's probably Model C. Okay. Now let's take Model C after, you know, we've come with all these models and we've seen, okay, Model C is probably the best model. We take Model C and we run our test set through this model. And this test set is used as a final check to see how generalizable that chosen model is. So if I, you know, finished training my diabetes data set, then I could run it through some chunk of the data and I can say, oh, like, this is how we perform on data that it's never seen before at any point during the training process. Okay. And that loss, that's the final reported performance of my test set or this would be the final reported performance of my model. Okay. So let's talk about this thing called loss because I think I kind of just lost over it, right? So loss is the difference between your prediction and the actual label. So this would give a slightly higher loss than this. And this would even give a higher loss because it's even more off in computer science. We like formulas, right? We like formulaic ways of describing things. So here","model, loss, set, pretty, models",Review the key concepts from this section and write a one-paragraph summary.
00:28:00,"are some examples of loss functions and how we can actually come up with numbers. This here is known as L1 loss. And basically L1 loss just takes the absolute value of whatever your, you know, real value is whatever the real output label is, subtracts the predicted value and takes the absolute value of that. Okay. So the absolute value is a function that looks something like this. So the further off you are, the greater your loss is, right? In either direction. So if your real value is off from your predicted value by 10, then your loss for that point would be 10. And then this sum here just means hey, we're taking all the points in our data set and we're trying to figure out the sum of how far everything is. Now we also have something called L2 loss. So this loss function is quadratic, which means that if it's close, the penalty is very minimal. And if it's off by a lot, then the penalty is much, much higher. Okay. And this instead of the absolute value, we just square the difference between the two. Now there's also something called binary cross entropy loss. It looks something like this. And this is for binary classification. This might be the loss that we use. So this loss, you know, I'm not going to really go through it too much, but you just need to know that loss decreases as the performance gets better. So there are some other measures of performance as well. So for example, accuracy. What is accuracy? So let's say that these are pictures that I'm feeding my model. Okay.","loss, absolute, real, numbers, function",Review the key concepts from this section and write a one-paragraph summary.
00:30:01,"And these predictions might be apple, orange, orange, apple. Okay, but the actual is apple, orange, apple, apple. So three of them were correct and one of them was incorrect. So the accuracy of this model is three quarters or 75%. All right, coming back to our collab notebook, I'm going to close this a little bit. Again, we've imported stuff up here. And we've already created our data frame right here. And this is all of our data. This is what we're going to use to train our models. So down here, again, if we now take a look at our data set, you'll see that our classes are now zeros and ones. So now this is all numerical, which is good because our computer can now understand that. Okay. And you know, it would probably be a good idea to maybe kind of plot, hey, dude, these things have anything to do with the class. So here, I'm going to go through all of the labels. So for label in the columns of the state of frame, so this just gets me the list. Actually, we have the list, right, it's called. So let's just use that. You might be less confusing of everything up till the last thing, which is the class. So I'm going to take all these 10 different features. And I'm going to plot them as a histogram. So and now I'm going to plot them as a histogram. So basically, if I take that data frame and I say, okay, for everything where the class is equal to one. So these are all of our gammas. Remember, now for that portion of the data frame, if I look at this label. So now these, okay, what this part here is saying is inside","apple, orange, data, data frame, frame",Review the key concepts from this section and write a one-paragraph summary.
00:32:01,"the data frame, get me everything where the class is equal to one. So that's all of these would fit into that category, right? And now let's just look at the label column. So the first label would be F length, which would be this column. So this command here is getting me all the different values that belong to class one for this specific label. And that's exactly what I'm going to put into the histogram. And now I'm just going to tell you know, map plot lib, make the color blue, make label this as, you know, gamma, set alpha. Why do I keep doing that? Alpha equal to 0.7. So that's just like the transparency. And then I'm going to set density equal to true. So that when we compare it to the hadrons here, we'll have a baseline for comparing them. Okay, so the density being true just basically normalizes these distributions. So, you know, if you have 200 and of one type and then 50 of another type, well, if you drew the histograms, it would be hard to compare because one of them would be a lot bigger than the other, right? But by normalizing them, we kind of are distributing them over how many samples there are. All right. And then I'm just going to put a title on here, make that the label, the y label. So because it's density, the y label is probability. And the x label is just going to be the label. What is going on? And I'm going to include a legend and plt.show just means, okay, display the plot. So if I run that, just be up to the last item. So we want a list, right? Not just the last item. And","label, data frame, equal, make, density",Review the key concepts from this section and write a one-paragraph summary.
00:34:00,"now we can see that we're plotting all of these. So here we have the length. Oh, and I made this gamma. So this should be hadron. Okay. So the gamma's in blue, the hadrons aren't red. So here we can already see that, you know, maybe if the length is smaller, it's probably more likely to be gamma, right? And we can kind of, you know, these all look somewhat similar. But here, okay, clearly if there's more asymmetry, or if, you know, this asymmetry measure is larger than it's probably hadron. Okay. Oh, this one's a good one. So F alpha seems like hadrons are pretty evenly distributed, whereas if this is smaller, it looks like there's more gammas in that area. Okay. So this is kind of what the data that we're working with, we can kind of see what's going on. Okay. So the next thing that we're going to do here is we are going to create our train, our validation, and our test datasets. I'm going to set train, valid, and test to be equal to this, so numpy.split, I'm just splitting up the data frame. And if I do this sample where I'm sampling everything, this will basically shuffle my data. Now, if I want to pass in where exactly I'm splitting my dataset, so the first split is going to be maybe at 60%. So I'm just going to say 0.6 times the length of this data frame. So, and then cast that 10 integer. That's going to be the first place where, you know, I cut it off, and that will be my training data. Now, if I then go to 0.8, this basically means","data, gamma, length, kind, plotting",Review the key concepts from this section and write a one-paragraph summary.
00:36:00,"everything between 60% and 80% of the length of the dataset will go towards validation, and then like everything from 80 to 100 is going to be my test data. So I can run that. And now, if we go up here and we inspect this data, we'll see that these columns seem to have values in like the 100s, whereas this one is 0.03. Right? So the scale of all these numbers is way off. And sometimes that will affect our results. So one thing that we would want to do is scale these so that they are, you know, so that it's now relative to maybe the mean and the standard deviation of that specific column. I'm going to create a function called scale dataset, and I'm going to pass in the data frame. And that's what I'll do for now. Okay, so the x values are going to be, you know, I take the data frame and let's assume that the columns are going to be, you know, that the label will always be the last thing in the data frame. So what I can do is say data frame dot columns all the way up to the last item and get those values. Now, for my y, well, it's the last column. So I can just do this. I can just index into that last column and then get those values. Now in, so I'm actually going to import something known as the standard scalar from sk learn. So if I come up here, I can go to sk learn dot pre processing. And I'm going to import standard scalar.","data frame, data, test data, frame, columns",Review the key concepts from this section and write a one-paragraph summary.
00:38:00,"I have to run that cell. I'm going to come back down here. And now I'm going to create a scalar and use that scalar. So standard scalar. And with the scalar, what I can do is actually just fit and transform x. So here, I can say x is equal to scalar dot fit, fit transform x. So what that's doing is saying, okay, take x and fit the standard scalar to x. And then transform all those values and what would it be? And that's going to be our new x. All right. And then I'm also going to just create, you know, the whole data as one huge 2d numpy array. And in order to do that, I'm going to call h stack. So h stack is saying, okay, take an array and another array and horizontally stack them together. That's what the h stands for. So by horizontally stacked them together, just like put them side by side, okay, not on top of each other. So what am I stacking? Well, I have to pass in something so that it can stack x and y. And now, okay, so numpy is very particular about dimensions, right? So in this specific case, our x is a two-dimensional object, but y is only a one-dimensional thing. It's only a vector of values. So in order to now reshape it into a 2d item, we have to call numpy dot reshape. And we can pass in the dimensions of its reshape. So if I pass a negative 1 comma 1, that just means, okay, make this a 2d array, where the negative 1 just means infer what this dimension value would be, which ends up being the length of y. This would be the same as literally doing this, but the negative 1 is easier","run that cell, scalar, fit, array, stack",Review the key concepts from this section and write a one-paragraph summary.
00:40:00,"because we're making a computer do the hard work. So if I stack that, I'm going to then return the data x and y. Okay, so one more thing is that if we go into our training data set, okay, again, this is our training data set, and we get the length of the training data set, but where the training data sets class is 1. So remember that this is the gammas. And then if we print that, and we do the same thing but 0, we'll see that, you know, there's around 7,000 of the gammas, but only around 4,000 of the hadrons. So that might actually become an issue. And instead, what we want to do is we want to over sample our training data set. So that means that we want to increase the number of these values so that these kind of match better. And surprise, surprise, there is something that we can import that will help us do that. So I'm going to go do from inblurn.oversampling. And I'm going to import this random over sampler. Run that cell and come back down here. So I will actually add in this parameter called over sample and set that to false for default. And if I do want to over sample, then what I'm going to do and by over sample, so if I do want to over sample, then I'm going to create this ROS and set it equal to this random over sampler. And then for x and y, I'm","training data set, training data, data set, data, hard work",Review the key concepts from this section and write a one-paragraph summary.
00:42:00,"just going to say, okay, just fit and re sample x and y. And what that's doing is saying, okay, take more of the less class. So take the less class and keep sampling from there to increase the size of our data set of that smaller class so that they now match. So if I do this and I scale data set and I pass in the training data set where over sample is true. So this, let's say this is train and then x train y train. Oops, what's going on? Oh, these should be columns. So basically, what I'm doing now is I'm just saying, okay, what is the length of y train? Okay, now it's 14,800, whatever. And now let's take a look at how many of these are type one. So actually, we can just sum that up. And then we'll also see that if we instead switch the label and ask how many of them are the other type, it's the same value. So now these have been evenly rebalanced. Okay, well, okay, so here I'm just going to make this the validation data set. And then the next one, I'm going to make this the test data set. All right, and we're actually going to switch over sample here to false. Now, the reason why I'm switching that to false is because my validation and my test sets are for the purpose of, you know, if I have data that I haven't seen yet, how does my sample perform on those? And I don't want to over sample for that right now. Like I don't","data set, data, set, sample, class",Review the key concepts from this section and write a one-paragraph summary.
00:44:00,"care about balancing those. I want to know if I have a random set of data that's unlabeled. Can I trust my model? Right. So that's why I'm not over sampling. I run that and again, what is going on? Oh, it's because we already have this train. So I have to go come up here and split that data frame again. And now let's run these. Okay. So now we have our data properly formatted. And we're going to move on to different models now. And I'm going to tell you guys a little bit about each of these models. And then I'm going to show you how we can do that in our code. So the first model that we're going to learn about is K&N or K nearest neighbors. Okay. So here I've already drawn a plot on the y-axis. I have the number of kids that a family might have. And then on the x-axis, I have their income in terms of thousands per year. So if someone's making 40,000 a year, that's where this would be. And if somebody making 320, that's where that would be. Somebody has zero kids. It'd be somewhere along this axis. Somebody has five. It'd be somewhere over here. Okay. And now I have these plus signs and these minus signs on here. So what I'm going to represent here is the plus sign means that they own a car. And the minus sign is going to represent no car. Okay. So your initial thought should be, okay, I think this is binary classification because all of our points, all of our samples have labels. So this is a sample with","care about balancing, care, data, balancing, random set",Review the key concepts from this section and write a one-paragraph summary.
00:46:00,"the plus label. And this here is another sample with the minus label. This is an abbreviation for width that I'll use. All right. So we have this entire data set and maybe around half the people own a car. And maybe around half the people don't own a car. Okay. Well, what if I had some new point? Let me use choose a different color. I'll use this nice green. Well, what if I have a new point over here? So let's say that somebody makes 40,000 a year and has two kids. What do we think that would be? Well, just logically looking at this plot, you might think, okay, it seems like they wouldn't have a car, right? Because that kind of matches the pattern of everybody else around them. So that's a whole concept of this nearest neighbors is you look at, okay, what's around you? And then you're basically like, okay, I'm going to take the label of the majority that's around me. So the first thing we have to do is we have to define a distance function. And a lot of times in, you know, 2D plots like this, our distance function is something known as Euclidean distance. And Euclidean distance is basically just this straight line distance like this. Okay. So this would be the Euclidean distance. It seems like there's this point, there's this point, there's that point, etc. So the length of this line, this green line that I just drew, that is","Euclidean distance, distance, point, label, Euclidean",Review the key concepts from this section and write a one-paragraph summary.
00:48:00,"what's known as Euclidean distance. If we want to get technical with that, this exact formula is the distance, here let me zoom in. The distance is equal to the square root of 1.x minus the other points x squared plus extend that square root the same thing for y. So y1 of 1 minus y2 of the other squared. Okay. So we're basically trying to find the length, the distances, the difference between x and y. And then square each of those, sum it up and take the square root. Okay. So I'm going to erase this so it doesn't clutter my drawing. But anyways, now going back to this plot. So here in the nearest neighbor algorithm, we see that there is a k, right. And this k is basically telling us, okay, how many neighbors do we use in order to judge what the label is? So usually we use a k of maybe, you know, three or five, depends on how big our data set is. But here I would say maybe a logical number would be three or five. So let's say that we take k to be equal to three. Okay. Well, of this data point that I drew over here, let me use green to highlight this. Okay. So of this data point that I drew over here, it looks like the three closest points are definitely this one, this one. And then this one has a length of four. And this one seems like it'd be a little bit further than four. So actually this would be our, these would be our three points. Well, all those points are blue. So chances","Euclidean distance, Euclidean, square root, square, distance",Review the key concepts from this section and write a one-paragraph summary.
00:50:00,"are my prediction for this point is going to be blue. It's going to be probably don't have a car. All right. Now what if my point is somewhere, what if my point is somewhere over here? Let's say that a couple has four kids and they make 240,000 a year. All right. Well, now my closest points are this one. Probably a little bit over that one. And then this one. Right. Okay. Still all pluses. Well, this one is more than likely to be plus. Right. Now let me get rid of some of these just so that it looks a little bit more clear. All right. Let's go through one more. What about a point that might be right here. Okay. Let's see. Well, definitely this is the closest. Right. This one is also closest. And then it's really close between the two of these. But if we actually do the mathematics, it seems like if we zoom in, this one is right here. And this one is in between these two. So this one here is actually shorter than this one. And that means that that top one is the one that we're going to take. Now what is the majority of the points that are closed by? Well, we have one plus here. We have one plus here. And we have one minus here, which means that the pluses are the majority. And that means that this label is probably somebody with a car. Okay.","point, blue, closest, points, prediction",Review the key concepts from this section and write a one-paragraph summary.
00:52:01,"So this is how K nearest neighbors would work. It's that simple. And this can be extrapolated to further dimensions, to higher dimensions. You know, if you have here, we have two different features. We have the income. And then we have the number of kids. But let's say we have 10 different features, we can expand our distance function so that it includes all 10 of those dimensions. We take the square root of everything. And then we figure out which one is the closest to the point that we desire to classify. Okay. So that's K nearest neighbors. So now we've learned about K nearest neighbors. Let's see how we would be able to do that within our code. So here I'm going to label the section K nearest neighbors. And we're actually going to use a package from SK learned. So the reason why we use these packages is so that we don't have to manually code all of these things ourselves because it would be really difficult and chances are the way that we would code it either we'd have bugs or it'd be really slow or I don't know a whole bunch of issues. So what we're going to do is hand it off to the pros. From here I can say, okay, from SK learn, which is this package dot neighbors. I'm going to import K neighbors classifier because we're classifying. Okay. So I've run that. And our K and N model is going to be this K neighbors classifier. And we can pass in a parameter of how many neighbors we want to use. So first let's see what happens if we just use one. So now if I do K and N model dot fit, I can pass in my x training set and my y train data. Okay. So that effectively fits this model.","nearest neighbors, neighbors, nearest, dimensions, neighbors classifier",Review the key concepts from this section and write a one-paragraph summary.
00:54:00,"And let's get all the predictions. So Y, K and N, or I guess yeah let's do Y predictions. And my Y predictions are going to be K and N model dot predict. So let's use the test set x test. Okay. All right. So if I call my predict, you'll see that we have those. But if I get my truth values for that test set, you'll see that this is what we actually do. So just again, this we got five out of six of them. Okay. Great. So let's actually take a look at something called the classification report that's offered by SK learned. So if I go to from SK learn dot metrics, import classification report, what I can actually do is say, hey print out this classification report for me. And let's check, you know, I'm giving you the Y test and the Y prediction. We run this and we see we get this whole entire chart. So I'm going to tell you guys a few things on this chart. All right. This accuracy is 82%, which is actually pretty good. That's just saying, hey, if we just look at, you know, what each of these new points, what it's closest to, then we actually get an 82% accuracy, which means how many do we get right versus how many total are there? Now precision is saying, okay, you might see that we have it for class one or class zero and class one. What precision is saying, let's go to this Wikipedia diagram over here because I actually kind of like this diagram. So here, this is our entire data set. And on the left over here, we have everything that we know is positive. So everything that is actually truly positive, that we've labeled positive in our original data set. And over here, this is everything that's truly negative. Now in this circle, we have things that are","predictions, test, set, classification report, classification",Train a classifier (like a Decision Tree or SVM) on the Iris dataset and evaluate its accuracy.
